country,district,segment,lid,official_value
新北市,新莊區,海山頭段三角子小段,00440005,54781
新北市,新莊區,海山頭段三角子小段,00450000,36500
新北市,新莊區,海山頭段三角子小段,00450001,36500
新北市,新莊區,海山頭段三角子小段,00450002,36500
新北市,新莊區,海山頭段三角子小段,00450003,36500
新北市,新莊區,海山頭段三角子小段,00450004,36500
新北市,新莊區,海山頭段三角子小段,00450005,36500
新北市,新莊區,海山頭段三角子小段,00450006,36500
新北市,新莊區,海山頭段三角子小段,00450007,54781
新北市,新莊區,海山頭段三角子小段,00450008,36500
新北市,新莊區,海山頭段三角子小段,00450009,36500
新北市,新莊區,海山頭段三角子小段,00450010,36500
新北市,新莊區,海山頭段三角子小段,00450011,36500
新北市,新莊區,海山頭段三角子小段,00490000,48122
新北市,新莊區,海山頭段三角子小段,00490001,43100
新北市,新莊區,海山頭段三角子小段,00770000,35442
新北市,新莊區,海山頭段三角子小段,00770001,36500
新北市,新莊區,海山頭段三角子小段,00770002,36500
新北市,新莊區,海山頭段三角子小段,00770003,36500
新北市,新莊區,海山頭段三角子小段,00770004,43100
新北市,新莊區,海山頭段三角子小段,00770005,54781
新北市,新莊區,海山頭段三角子小段,00770006,43100
新北市,新莊區,海山頭段三角子小段,00770007,36500
新北市,新莊區,海山頭段三角子小段,00770008,43100
新北市,新莊區,海山頭段三角子小段,00770009,36500
新北市,新莊區,海山頭段三角子小段,00770012,36500
新北市,新莊區,海山頭段三角子小段,00770013,36500
新北市,新莊區,海山頭段三角子小段,00770014,36500
新北市,新莊區,海山頭段三角子小段,00770015,36500
新北市,新莊區,海山頭段三角子小段,00770016,36500
新北市,新莊區,海山頭段三角子小段,00770018,54655
新北市,新莊區,海山頭段三角子小段,00770019,54781
新北市,新莊區,海山頭段三角子小段,00770020,54781
新北市,新莊區,海山頭段三角子小段,00770021,54781
新北市,新莊區,海山頭段三角子小段,00770022,36500
新北市,新莊區,海山頭段三角子小段,00770024,36500
新北市,新莊區,海山頭段三角子小段,00770025,36500
新北市,新莊區,海山頭段三角子小段,00770026,36500
新北市,新莊區,海山頭段三角子小段,00770027,36500
新北市,新莊區,海山頭段三角子小段,00770028,36500
新北市,新莊區,海山頭段三角子小段,00770029,36500
新北市,新莊區,海山頭段三角子小段,00770030,36500
新北市,新莊區,海山頭段三角子小段,00770031,36500
新北市,新莊區,海山頭段三角子小段,00770032,36500
新北市,新莊區,海山頭段三角子小段,00770034,36500
新北市,新莊區,海山頭段三角子小段,00770035,36500
新北市,新莊區,海山頭段三角子小段,00770036,36500
新北市,新莊區,海山頭段三角子小段,00780000,54781
新北市,新莊區,海山頭段三角子小段,00780001,36500
新北市,新莊區,海山頭段三角子小段,00780002,36500
新北市,新莊區,海山頭段三角子小段,00780003,36500
新北市,新莊區,海山頭段三角子小段,00780004,36500
新北市,新莊區,海山頭段三角子小段,00780005,36500
新北市,新莊區,海山頭段三角子小段,00780006,36500
新北市,新莊區,海山頭段三角子小段,00780007,35952
新北市,新莊區,海山頭段三角子小段,00780008,36500
新北市,新莊區,海山頭段三角子小段,00780009,43100
新北市,新莊區,海山頭段三角子小段,00780010,36500
新北市,新莊區,海山頭段三角子小段,00780011,36500
新北市,新莊區,海山頭段三角子小段,00780012,36500
新北市,新莊區,海山頭段三角子小段,00780013,36500
新北市,新莊區,海山頭段三角子小段,00780014,36500
新北市,新莊區,海山頭段三角子小段,00780015,36500
新北市,新莊區,海山頭段三角子小段,00780016,36500
新北市,新莊區,海山頭段三角子小段,00780017,36500
新北市,新莊區,海山頭段三角子小段,00780018,35511
新北市,新莊區,海山頭段三角子小段,00780019,35618
新北市,新莊區,海山頭段三角子小段,00780020,36341
新北市,新莊區,海山頭段三角子小段,00780021,36500
新北市,新莊區,海山頭段三角子小段,00780022,36500
新北市,新莊區,海山頭段三角子小段,00780023,36500
新北市,新莊區,海山頭段三角子小段,00780024,45524
新北市,新莊區,海山頭段三角子小段,00780025,48907
新北市,新莊區,海山頭段三角子小段,00780026,36500
新北市,新莊區,海山頭段三角子小段,00780027,36500
新北市,新莊區,海山頭段三角子小段,00780028,35442
新北市,新莊區,海山頭段三角子小段,00780029,36500
新北市,新莊區,海山頭段三角子小段,00780030,36500
新北市,新莊區,海山頭段三角子小段,00780031,36500
新北市,新莊區,海山頭段三角子小段,00780032,54781
新北市,新莊區,海山頭段三角子小段,00780033,50626
新北市,新莊區,海山頭段三角子小段,00920000,36500
新北市,新莊區,海山頭段三角子小段,00920001,36500
新北市,新莊區,海山頭段三角子小段,00920002,36500
新北市,新莊區,海山頭段三角子小段,00920003,36500
新北市,新莊區,海山頭段三角子小段,00920004,36500
新北市,新莊區,海山頭段三角子小段,00920005,54781
新北市,新莊區,海山頭段三角子小段,00920006,54781
新北市,新莊區,海山頭段三角子小段,00920007,35300
新北市,新莊區,海山頭段三角子小段,00920008,54781
新北市,新莊區,海山頭段三角子小段,00920010,54781
新北市,新莊區,海山頭段三角子小段,00920011,36500
新北市,新莊區,海山頭段三角子小段,00920012,54781
新北市,新莊區,海山頭段三角子小段,00920013,35300
新北市,新莊區,海山頭段三角子小段,00920014,54781
新北市,新莊區,海山頭段三角子小段,00920015,54781
新北市,新莊區,海山頭段三角子小段,00920016,54781
新北市,新莊區,海山頭段三角子小段,00920017,54781
新北市,新莊區,海山頭段三角子小段,00920018,36500
新北市,新莊區,海山頭段三角子小段,00920019,36500
新北市,新莊區,海山頭段三角子小段,00920021,77900
新北市,新莊區,海山頭段三角子小段,00920022,36500
新北市,新莊區,海山頭段三角子小段,00920023,54781
新北市,新莊區,海山頭段三角子小段,00920024,35300
新北市,新莊區,海山頭段三角子小段,00920027,54781
新北市,新莊區,海山頭段三角子小段,00920028,54781
新北市,新莊區,海山頭段三角子小段,00920029,35300
新北市,新莊區,海山頭段三角子小段,00920030,44287
新北市,新莊區,海山頭段三角子小段,00920031,54781
新北市,新莊區,海山頭段三角子小段,00920032,54781
新北市,新莊區,海山頭段三角子小段,00920033,54781
新北市,新莊區,海山頭段三角子小段,00920034,36500
新北市,新莊區,海山頭段三角子小段,00920035,54781
新北市,新莊區,海山頭段三角子小段,00920036,54781
新北市,新莊區,海山頭段三角子小段,00920037,54781
新北市,新莊區,海山頭段三角子小段,00920038,36500
新北市,新莊區,海山頭段三角子小段,00920039,54781
新北市,新莊區,海山頭段三角子小段,00920040,54781
新北市,新莊區,海山頭段三角子小段,00920041,54781
新北市,新莊區,海山頭段三角子小段,00920042,54781
新北市,新莊區,海山頭段三角子小段,00920043,36500
新北市,新莊區,海山頭段三角子小段,00920044,54781
新北市,新莊區,海山頭段三角子小段,00920045,54781
新北市,新莊區,海山頭段三角子小段,00920046,54781
新北市,新莊區,海山頭段三角子小段,00920047,54781
新北市,新莊區,海山頭段三角子小段,00920048,54781
新北市,新莊區,海山頭段三角子小段,00920049,54781
新北市,新莊區,海山頭段三角子小段,00920050,54781
新北市,新莊區,海山頭段三角子小段,00920051,54781
新北市,新莊區,海山頭段三角子小段,00920052,36500
新北市,新莊區,海山頭段三角子小段,00920053,36500
新北市,新莊區,海山頭段三角子小段,00920054,36500
新北市,新莊區,海山頭段三角子小段,00920055,36500
新北市,新莊區,海山頭段三角子小段,00920056,36500
新北市,新莊區,海山頭段三角子小段,00920057,36500
新北市,新莊區,海山頭段三角子小段,00920058,36500
新北市,新莊區,海山頭段三角子小段,00920059,36500
新北市,新莊區,海山頭段三角子小段,00920060,36500
新北市,新莊區,海山頭段三角子小段,00920061,36500
